name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,year,month,breach_type_hacking_it_incident,breach_type_improper_disposal,breach_type_loss,breach_type_other,breach_type_theft,breach_type_unauthorized_access_disclosure,breach_type_unknown,primary_breach_type,location_desktop_computer,location_electronic_medical_record,location_email,location_laptop,location_network_server,location_other,location_other_portable_electronic_device,location_paper_films,primary_location,is_mega_breach,breach_size_tier,log_individuals_affected,quarter,days_since_epoch,ba_present,entity_business_associate,entity_health_plan,entity_healthcare_clearing_house,entity_healthcare_provider,region,breach_type_gap,location_gap
"Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.",MD,Healthcare Provider,5228,2018-01-19,Hacking/IT Incident,"Desktop Computer, Network Server",No,"An unauthorized user accessed the covered entity’s (CE) information technology (IT) network and infected it with malware.   The breach involved the protected health information (PHI) of 5,228 individuals and  included names, addresses, dates of birth, social security numbers, and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media and provided free credit monitoring.  Following the breach, the CE implemented dual-factor authentication for access to its IT network and a monitoring system to detect unauthorized access.  During the investigation, OCR reviewed the CE’s HIPAA policies and risk analysis for HIPAA compliance.",2018,1,True,False,False,False,False,False,False,Hacking/IT Incident,True,False,False,False,True,False,False,False,Desktop Computer,0,Small,8.56197533418813,1,1836,0,False,False,False,True,South,Technical Safeguard Failure,Physical/Technical Safeguard Failure
The Pediatric Endocrinology and Diabetes Specialists,NV,Healthcare Provider,1021,2018-01-18,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Laptop",No,"A former physician employee of covered entity (CE), Pediatric Endocrinology and Diabetes Specialists, a Nevada facility that closed in January 2016, impermissibly accessed the protected health information (PHI) of patients after leaving the practice.  The breach affected approximately 1,021 individuals and included full names, addresses, dates of birth, patient ID numbers, insurance information, diagnosis/conditions, lab results, and medications.  The CE provided breach notification to HHS, affected individuals, and the media, and also provided substitute notice.  In response to the incident, the CE conducted a thorough audit of the employee’s medical record access following the former employee’s termination.  OCR provided technical assistance to the CE on Security Rule compliance should it reopen. 
",2018,1,True,False,False,False,False,False,False,Hacking/IT Incident,True,True,False,True,False,False,False,False,Desktop Computer,0,Small,6.92951677076365,1,1835,0,False,False,False,True,West,Technical Safeguard Failure,Physical/Technical Safeguard Failure
Gillette Medical Imaging,WY,Healthcare Provider,4476,2018-01-18,Unauthorized Access/Disclosure,Paper/Films,Yes,"On December 1, 2017, Gillette Medical Imaging, the covered entity (CE), discovered that its former business associate (BA) mistakenly mailed its medical billing records to other providers in the same geographical area. The breach affected over 500 individuals, and included names, addresses, social security numbers, dates of birth, insurance claims information, bank and credit card account numbers, diagnoses, lab results, and medications. The CE provided breach notification to affected individuals, the media, and HHS.  OCR verified that the CE had proper BA agreements in place that restrict the BA’s use and disclosure of PHI and required the BA to safeguard all PHI. In resolving the breach, OCR provided the CE with technical assistance regarding reasonable safeguards, device and media controls, disclosures to business associates, business associate agreements, reportable breach assessment, and the Breach Notification Rule.",2018,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,8.406708458240965,1,1835,1,False,False,False,True,West,Administrative Safeguard Failure,Physical Safeguard Failure
High Plains Surgical Associates,WY,Healthcare Provider,607,2018-01-15,Unauthorized Access/Disclosure,Paper/Films,Yes,"On October 31, 2017, the covered entity (CE), High Plains Surgical Associates, discovered that its former business associate (BA) mistakenly mailed its medical billing records to other health care providers in the same geographical area.  Additionally, the former BA sent other providers’ medical billing records to the CE.  The breach reportedly affected over 500 individuals, and the protected health information (PHI) impermissibly disclosed included names, addresses, social security numbers, and clinical information.  The CE provided breach notification to affected individuals, the media, and HHS. OCR verified that the CE had compliant BA agreements in place that restrict the BA’s use and disclosure of PHI and require the BA to safeguard all PHI. OCR provided technical assistance regarding reasonable safeguards, disclosures to BAs, BA agreements, reportable breach risk assessments, and its additional obligations under the Breach Notification Rule.
",2018,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,6.410174881966167,1,1832,1,False,False,False,True,West,Administrative Safeguard Failure,Physical Safeguard Failure
Western Washington Medical Group Inc.,WA,Healthcare Provider,842,2018-01-12,Improper Disposal,Paper/Films,No,"The covered entity's (CE) contracted janitorial service comingled the regular trash with shred bin materials containing the protected health information (PHI) of approximately 842 individuals that were ultimately disposed of in the general trash receptacle. The types of PHI involved included patients’ names, addresses, birthdates, claims information, diagnoses, conditions, lab results and medications. The CE provided breach notification to HHS, affected individuals, and the media and also provided a toll-free number and free identity theft protection services. The CE required the contractor to remind staff not to dispose of the documents in the shred bins and retrained staff specific to HIPAA. OCR obtained assurances that the CE implemented the corrective actions noted above.",2018,1,False,True,False,False,False,False,False,Improper Disposal,False,False,False,False,False,False,False,True,Paper/Films,0,Small,6.736966958001855,1,1829,0,False,False,False,True,West,Physical/Administrative Safeguard Failure,Physical Safeguard Failure
"Pedes Orange County, Inc.",CA,Healthcare Provider,917,2018-01-12,Unauthorized Access/Disclosure,Electronic Medical Record,No,"On November 14, 2017, PEDES Orange County, Inc., the covered entity (CE), discovered that a physician from another medical group accessed the CE’s electronic medical records (EMR) database and disclosed such information to an unauthorized individual, affecting 917 individuals. The types of protected health information (PHI) involved in the breach included patients’ names and clinical information. The CE provided breach notification to HHS, affected individuals, and the media and established a dedicated call center to assist individuals affected by the breach incident.  Following the breach and in response to OCR’s investigation, the CE suspended the physician’s access to its EMR system and implemented technical safeguards including a new EMR system with increased access controls.  OCR provided technical assistance on the Security Rule. ",2018,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,True,False,False,False,False,False,False,Electronic Medical Record,0,Small,6.822197390620491,1,1829,0,False,False,False,True,West,Administrative Safeguard Failure,Technical Safeguard Failure
Onco360 and CareMed Specialty Pharmacy ,KY,Healthcare Provider,53173,2018-01-12,Hacking/IT Incident,Email,No,"Onco360 and CareMed Specialty Pharmacy, the covered entity (CE), reported that three employees fell victim to an email phishing scheme that affected the protected health information (PHI) of 53,173 individuals.  The PHI involved included names, dates of birth, addresses, Social Security numbers, diagnoses, conditions, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional technical safeguards to better protect its data.  ",2018,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Medium,10.881324834061799,1,1829,0,False,False,False,True,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
Alicia Ann Oswald,CA,Healthcare Provider,800,2018-01-09,Unauthorized Access/Disclosure,Email,No,"On January 9, 2018, the covered entity (CE), Dr. Alicia Oswald, reported that she sent group emails to her patients without using the “blank carbon copy” (BCC) feature to mask the recipients.  The breach affected an estimated 800 individuals’ email addresses.  In response to the breach, the CE re-sent the email using BCC and apologized to the individuals, reported the incident to the California State Board, and provided breach notification to HHS.  The CE adopted improved email software to prevent a similar incident from happening in the future and deployed practice software to safeguard protected health information.  OCR obtained additional documentation including the CE’s HIPAA Notice of Privacy Practices Policy.  OCR obtained assurances that the CE implemented the corrective actions listed above and provided technical assistance regarding the requirements of the HIPAA Breach Notification Rule. ",2018,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,True,False,False,False,False,False,Email,0,Small,6.68586094706836,1,1826,0,False,False,False,True,West,Administrative Safeguard Failure,Technical/Administrative Safeguard Failure
Palomar Health (Palomar Medical Center (Escondido),CA,Healthcare Provider,1309,2018-01-08,Unauthorized Access/Disclosure,Electronic Medical Record,No,"On February 10, 2016, the covered entity (CE), Palomar Medical Center, discovered that a PMC- Escondido Emergency Room (ER) nurse accessed the medical records of patients without a work-related reason to do so.  The types of protected health information (PHI) involved in the breach included the demographic and clinical information of approximately 1,309 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE implemented new technical safeguards, provided individuals with free credit monitoring, and sanctioned the workforce member.  As a result of OCR’s investigation, the CE restricted the ER nurse from having access to its facilities, patients, and the electronic medical record.  The CE reported the matter to the Board of Registered Nursing (BRN) and the California Department of Public Health (CDPH).  The CE’s Information Security Office circulated an information security awareness sheet related to unauthorized access via email to all employees and began implementing a new functionality of the Fair Warning tool:  a report that runs daily and identifies disproportionate instances of access to patient medical records by staff members.  The CE strengthened and revised its policies and procedures, performed an assessment, and provided refresher training to all clinical staff regarding proper procedures for administering medication and interacting with automatic medication dispensing machines that contain PHI.  In addition, new nurses receive training from the Pharmacy Department as part of the new employee orientation.  OCR obtained assurances that the CE implemented the corrective actions listed above.  In this case, the nurse involved in the breach resigned from employment.",2018,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,True,False,False,False,False,False,False,Electronic Medical Record,0,Small,7.177782416195197,1,1825,0,False,False,False,True,West,Administrative Safeguard Failure,Technical Safeguard Failure
"Charles River Medical Associates, pc",MA,Healthcare Provider,9387,2018-01-08,Loss,Other Portable Electronic Device,No,"In November 2017, Charles River Medical Associates, the covered entity (CE), discovered that an unencrypted, portable hard drive used to store monthly backups of bone density studies was missing from the bone density testing workstation, affecting 9,387 individuals. The types of protected health information (PHI) involved included patients' names, dates of birth, patients' identification numbers, and radiology images. The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE applied appropriate sanctions, retrained its workforce, and conducted an audit of hardware containing electronic PHI, resulting in the replacement of two additional portable devices not in compliance with its policies.  OCR reviewed the CE’s policies and procedures and obtained assurances that the CE implemented the corrective actions listed above.",2018,1,False,False,True,False,False,False,False,Loss,False,False,False,False,False,False,True,False,Other Portable Electronic Device,0,Small,9.147187556970914,1,1825,0,False,False,False,True,Northeast,Physical/Technical Safeguard Failure,Physical/Technical Safeguard Failure
"DJO, LLC",CA,Healthcare Provider,1203,2018-01-06,Loss,Paper/Films,Yes,"The covered entity, DJO, which is a supplier of durable medical equipment, prosthetics, orthotics, and supplies, reported a breach incident affecting 1,203  individuals when its business associate (BA), Total Orthopedics, lost paper forms containing protected health information (PHI).  The types of PHI involved in the breach included demographic and clinical information, product order dates, health insurers, and health insurance indemnification numbers (which could possibly match an individual’s social security numbers).  The CE was unable to identify the individuals affected. It provided breach notification through substitute notice posted on its website, to the media, and to HHS. OCR obtained assurances that the CE and BA took voluntary corrective actions, including attempting to identify the affected individuals, retraining employees, giving additional training to the new BA employee working on behalf of the CE, adding controls for tracking forms delivered and picked-up, increasing audits, and monitoring the inventory received. ",2018,1,False,False,True,False,False,False,False,Loss,False,False,False,False,False,False,False,True,Paper/Films,0,Small,7.093404625868766,1,1823,1,False,False,False,True,West,Physical/Technical Safeguard Failure,Physical Safeguard Failure
Agency for Health Care Administration,FL,Health Plan,30000,2018-01-05,Hacking/IT Incident,Email,No,"On November 20, 2017, the Agency for Health Care Administration, the covered entity (“CE”), discovered that one of its employees had been the victim of a phishing incident, potentially exposing the names, dates of birth, addresses, social security numbers, clinical and health insurance information of 29,641 individuals. The CE provided timely breach notification to HHS, to the affected individuals and to the media. At the time of the breach and currently, the CE trained its employees on its HIPAA policies and procedures and including the reporting of suspicious emails. In response to the breach, the CE retrained the employee at fault and its entire workforce on identifying and reporting potential phishing emails. OCR obtained assurances that the CE implemented the corrective actions listed above. ",2018,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Medium,10.308985993422082,1,1822,0,False,True,False,False,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
Oklahoma State University ,OK,Healthcare Provider,279865,2018-01-05,Hacking/IT Incident,Network Server,No,"Oklahoma State University – Center for Health Sciences (OSU-CHS) has paid $875,000 to the Office for Civil Rights (OCR) at the U.S. Department of Health and Human Services (HHS) and agreed to implement a corrective action plan to settle potential violations of the Health Insurance Portability and Accountability Act (HIPAA) Privacy, Security, and Breach Notification Rules. OSU-CHS is a public land-grant research university which provides preventive, rehabilitative, and diagnostic care in Oklahoma.

On January 5, 2018, OSU-CHS filed a breach report stating that an unauthorized third party gained access to a web server that contained electronic protected health information (ePHI).  The hacker installed malware that resulted in the disclosure of the ePHI of 279,865 individuals, including their names, Medicaid numbers, healthcare provider names, dates of service, dates of birth, addresses, and treatment information.  OSU-CHS initially reported that the breach occurred on November 7, 2017, but later reported that the ePHI was first impermissibly disclosed on March 9, 2016.

OCR’s investigation found potential violations of the HIPAA Rules including impermissible uses and disclosures of PHI; failure to conduct an accurate and thorough risk analysis; failure to perform an evaluation, failures to implement audit controls, security incident response and reporting, and failure to provide timely breach notification to affected individuals and HHS.

“HIPAA covered entities are vulnerable to cyber-attackers if they fail to understand where ePHI is stored in their information systems,” said OCR Director Lisa J. Pino. “Effective cybersecurity starts with an accurate and thorough risk analysis and implementing all of the Security Rule requirements.”

In addition to the monetary settlement, OSU-CHS will undertake a robust corrective action plan that includes two years of monitoring.  A copy of the resolution agreement and corrective action plan may be found at: https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/osu-ra-cap/index.html.


",2018,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,12.54206619617096,1,1822,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Penn Medicine,PA,Healthcare Provider,1050,2018-01-02,Theft,Laptop,No,"The covered entity (CE), Penn Medicine, reported that an unencrypted laptop containing protected health information (PHI) was stolen from an employee.  This breach affected 1,050 individuals and the protected health information (PHI) involved included names, dates of birth, claims information, and treatment information.  As a result of the breach, the CE implemented additional administrative and security safeguards and retrained its staff on the importance of patient privacy and safeguarding PHI.",2018,1,False,False,False,False,True,False,False,Theft,False,False,False,True,False,False,False,False,Laptop,0,Small,6.957497370876951,1,1819,0,False,False,False,True,Northeast,Physical/Technical Safeguard Failure,Physical/Technical Safeguard Failure
Coplin Health Systems,WV,Healthcare Provider,43000,2017-12-29,Theft,Laptop,No,"On December 29, 2017, the covered entity (CE), Coplin Health System, reported that a password-protect, unencrypted laptop computer issued to a part-time employee was stolen from his automobile.  The employee notified law enforcement and the CE immediately notified its information technology (IT) department of the theft.  Further inquiry determined that the employee did not store protected health information (PHI) on the laptop, but used it to access and use the CE’s online Electronic Health Record (EHR) system and email system.  The CE could not eliminate the risk that the laptop could have contained some PHI saved by prior users.  At the time of the theft, the CE had an encryption policy in place requiring all laptops issued to employees to be encrypted.  The CE immediately cancelled the credentials issued to the employee that enabled him to access its IT systems, including the EHR system.  The CE’s IT department monitored its’ IT systems for any signs of unauthorized access and is expected to do so indefinitely. The CE counseled the employee policies and procedures with regard to security for laptops.  Following the breach, the CE ensured that every laptop in its inventory was either encrypted or removed from active service.  The CE also began implementing a mobile device management solution that will allow it to remotely wipe any CHS-owned devices that might be lost or stolen in the future.  OCR obtained copy of the CE’s current risk assessment, its breach notification to affected individuals, and copies of HIPAA policies and procedures. OCR obtained assurances that the CE implemented the corrective actions listed.",2017,12,False,False,False,False,True,False,False,Theft,False,False,False,True,False,False,False,False,Laptop,0,Medium,10.668978650219241,4,1815,0,False,False,False,True,South,Physical/Technical Safeguard Failure,Physical/Technical Safeguard Failure
SSM Health,MO,Healthcare Provider,29579,2017-12-28,Unauthorized Access/Disclosure,Electronic Medical Record,No,"SSM Health, the covered entity (CE), reported that one of its former employees attempted to fraudulently obtain prescription medications from St. Louis pharmacies using protected health information (PHI) that was acquired during his employment.  This breach incident affected 29,579 individuals and the PHI involved included names, dates of birth, addresses, phone numbers, Social Security numbers, and clinical information.  The CE notified HHS, affected individuals, the media, local law enforcement, and posted substitute notice on its website.  The CE also provided complimentary identity theft protection services to affected individuals.  In its mitigation efforts, the CE implemented additional administrative and technical safeguards to better protect its PHI and retrained its staff.  OCR obtained assurances that the CE implemented the corrective actions noted.",2017,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,True,False,False,False,False,False,False,Electronic Medical Record,0,Medium,10.294853736264791,4,1814,0,False,False,False,True,Midwest,Administrative Safeguard Failure,Technical Safeguard Failure
"Miracle-Ear, Inc. and Amplifon (USA), Inc.",MN,Business Associate,554,2017-12-28,Hacking/IT Incident,Email,Yes,"Miracle-Ear and Amplifon USA, Inc., business associates (BA) of Best Hearing Products, Inc., the covered entity (CE), reported that an employee of Best Hearing Products, Inc., was the victim of an email phishing scheme that affected the protected health information (PHI) of 554 individuals.  The PHI involved included names, dates of birth, addresses, and treatment information.  The BA notified HHS, affected individuals, and the media.  After the breach, the CE implemented administrative and technical safeguards to better protect its data and retrained its employees on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",2017,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,6.318968113746434,4,1814,1,True,False,False,False,Midwest,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
"Longs Peak Family Practice, P.C.",CO,Healthcare Provider,16238,2017-12-27,Hacking/IT Incident,"Desktop Computer, Network Server",No,"On November 5, 2017, Longs Peak Family Practice, the covered entity (CE), discovered that a hacker had penetrated its computer network and executed malicious code within the network before the CE could prevent it.  Though the malicious code included ransomware that encrypted certain files, the CE used backup files to rebuild and restore its network without paying any ransom. The CE hired a company to perform a forensic investigation, which revealed evidence of unauthorized access to some parts of its computer system on November 5, 9, and 10, 2017, resulting in the breach of 16,238 individuals’ electronic protected health information (PHI).  The types of PHI involved included demographic, financial, and clinical information.  The CE provided breach notification to affected individuals, the media, and HHS. The CE also mitigated the effects of the breach by providing affected individuals with credit monitoring information and contact information should they have questions regarding the breach.  Following the breach, the CE improved technical safeguards by verifying that non-essential router ports were closed, wiping and restoring affected hard drives, scanning computing devices for viruses, building a new cloud-based server environment, replacing its firewall, configuring a virtual private network, and implementing a remote monitoring and management agent/software on the CE’s devices.  It also hired a new IT provider, updated its risk analysis and risk management plan, and reviewed and revised policies and procedures.  In the course of its review, OCR provided the CE with technical assistance regarding risk analysis and risk management. ",2017,12,True,False,False,False,False,False,False,Hacking/IT Incident,True,False,False,False,True,False,False,False,Desktop Computer,0,Medium,9.695171035465087,4,1813,0,False,False,False,True,West,Technical Safeguard Failure,Physical/Technical Safeguard Failure
Colorado Department of Human Services,CO,Healthcare Provider,639,2017-12-27,Hacking/IT Incident,Desktop Computer,No,"On November 1, 2017, an employee at the Colorado Mental Health Institute in Pueblo mistyped a website address into her computer browser and accessed an imposter site that downloaded malware to her computer. Her subsequent attempts to fix the problem allowed the malware company to access the protected health information (PHI) of 639 individuals, including demographic, clinical, and financial information. The CE provided breach notification to HHS, affected individuals, and the media. Following the breach, the CE conducted a forensic investigation, sanctioned the responsible employee, and augmented existing employee training with additional information regarding malware attacks and social engineering. OCR obtained assurances that the CE implemented the listed corrective actions.",2017,12,True,False,False,False,False,False,False,Hacking/IT Incident,True,False,False,False,False,False,False,False,Desktop Computer,0,Small,6.461468176353717,4,1813,0,False,False,False,True,West,Technical Safeguard Failure,Physical/Technical Safeguard Failure
UnitedHealthcare Community Plan of Pennsylvania ,PA,Business Associate,614,2017-12-27,Unauthorized Access/Disclosure,Paper/Films,Yes,"On October 16, 2017, a third-party subcontractor of the covered entity (CE), United Healthcare Community Plan, erroneously prepared and mailed a letter (intended for numerous physicians) to 614 health plan members. These letters contained protected health information (PHI) about certain plan members including names, addresses, plan identification numbers, telephone numbers, provider names, and it inferred that a diabetes condition was associated with the member.  The CE believed that the errant letters were addressed in such a way that none were deliverable and would either be destroyed by the US Postal Service (USPS) or potentially returned to the company as undeliverable.  On November 1, 2017, the CE indicated that it received a call from a member recipient that they received one of these errant letters.  The CE received a total of nine of such reports.  The CE believed that most of the letters were destroyed by the USPS as undeliverable; however, in an abundance of caution they provided breach notification to all 614 members whose PHI was included in the mailing, in addition to notifying HHS.  The CE strengthened safeguards by requiring an additional quality review prior to the release of mailings to the USPS and by limiting the use of third-party subcontractors in the future to mailing jobs that do not contain PHI or personally identifiable information (PII).  Additionally, mailings that contain PHI or PII will use a USPS Return Service.  OCR reviewed a copy of the relevant signed business associate agreement and the CE’s current risk assessment.  OCR obtained assurances that the CE implemented the corrective actions listed above. 
",2017,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,6.421622267806518,4,1813,1,True,False,False,False,Northeast,Administrative Safeguard Failure,Physical Safeguard Failure
Blue Cross Blue Shield of Massachusetts,MA,Health Plan,1843,2017-12-26,Unauthorized Access/Disclosure,Email,No,"On February 20, 2017, one of BCBSMA’s employer accounts requested data on its current and past employees. BCBSMA erroneously emailed data about individuals who were not current or past employees of the account holder in an encrypted email. The emailed data contained protected health information (PHI) of 1,843 individuals, including names, addresses, birthdates, and social security numbers. On December 12, 2017, the employer used the incorrect data and sent letters to the listed individuals. After being informed by the individuals of the error, the account holder did not further re-disclose the PHI and it was destroyed. BCBSMA provided breach notification to HHS, affected individuals, and the media. OCR reviewed BCBSMA’s policies and procedures as they relate to this breach report, and they appear to comply with the Privacy, Security and Breach Notification Rules.  ",2017,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,True,False,False,False,False,False,Email,0,Small,7.519692404116539,4,1812,0,False,True,False,False,Northeast,Administrative Safeguard Failure,Technical/Administrative Safeguard Failure
"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,638,2017-12-22,Unauthorized Access/Disclosure,Paper/Films,No,"Kaiser Foundation Health Plan (Kaiser), the covered entity (CE), reported that it had impermissibly disclosed protected health information (PHI) due to a flaw in its mail merge and quality assurance process.  The breach affected 638 individuals.  The PHI involved included names, medications prescribed, and health plan members.  Following the breach, Kaiser strengthened its quality assurance process for mail merging and provided training on the revised process as well as refresher HIPAA training on protecting the privacy and security of PHI.

",2017,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,6.459904454377535,4,1808,0,False,True,False,False,West,Administrative Safeguard Failure,Physical Safeguard Failure
SAY San Diego,CA,Healthcare Provider,1272,2017-12-22,Loss,Paper/Films,No,"On October 27, 2017, the covered entity (CE), SAY San Diego, was notified by the County of San Diego Health & Human Services Agency that a citizen had returned paper files containing protected health information (PHI) to its office that were found in a filing cabinet purchased from a salvage store.  The CE confirmed that the files were related to youth participants in its dual diagnosis program from January through June 2013.  The breach included the clinical and demographic information of 1,272 individuals. The CE provided breach notification to affected individuals, prominent media outlets, and HHS and offered individuals one year of free identity monitoring services.  In response to OCR’s investigation, the CE revised its policy and procedure on the disposal of PHI and electronic PHI and provided additional training to the workforce member responsible for the breach.",2017,12,False,False,True,False,False,False,False,Loss,False,False,False,False,False,False,False,True,Paper/Films,0,Small,7.149131598557407,4,1808,0,False,False,False,True,West,Physical/Technical Safeguard Failure,Physical Safeguard Failure
Molina Healthcare,FL,Health Plan,1380,2017-12-21,Unauthorized Access/Disclosure,Other,No,"Molina Healthcare, Inc., the covered entity (CE), made an error when it prepared mailing lists for its business associate (BA),  Merrill Communications, LLC, to use when it sent letters to Molina beneficiaries from October 13, 2017 through October 23, 2017.  As a result of the error, when the BA sent the letters they were delivered to an incorrect beneficiary.  The breach affected 1,380 individuals and the types of protected health information (PHI) listed in the letters included beneficiaries’ names, member identification numbers, dates of service, and the name of the beneficiaries’ physicians. The CE sent timely breach notification to HHS, the affected individuals, and the media. It also offered affected individuals 24 months of free identity theft protection.  To mitigate the breach, the CE conducted an outreach campaign to collect copies of the misdirected mail and sanctioned and retrained the responsible employees.  OCR obtained assurances that the CE implemented the corrective actions listed above. ",2017,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,True,False,False,Other,0,Small,7.2305631534092925,4,1807,0,False,True,False,False,South,Administrative Safeguard Failure,Unclassified
"BEE Reno Dental, LLC",NV,Healthcare Provider,3898,2017-12-20,Hacking/IT Incident,"Desktop Computer, Network Server",No,"On October 30, 2017, the covered entity (CE), BEE Reno Dental, LLC,  experienced a ransomware attack on its desktop computers and its network server that blocked access to its patient electronic protected health information (ePHI).  The CE's computers and servers contained the ePHI of 3,898 individuals, including names, addresses, dates of birth, Social Security numbers, diagnoses, treatment plans, and health insurance information. The CE provided breach notification to affected individuals, HHS, and the media. In response to the breach, the CE revised and implemented updated HIPAA policies and procedures and retrained its workforce members.  It also re-installed and reconfigured the domain controller, blocked remote access to its system, upgraded its computer operating system, and ensured the availability of backup service for all critical applications and data. OCR obtained assurances that the CE implemented the corrective actions listed.",2017,12,True,False,False,False,False,False,False,Hacking/IT Incident,True,False,False,False,True,False,False,False,Desktop Computer,0,Small,8.268475388982598,4,1806,0,False,False,False,True,West,Technical Safeguard Failure,Physical/Technical Safeguard Failure
"Absolute Dental Hygiene, LLC",OR,Healthcare Provider,871,2017-12-20,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No,"An unauthorized individual gained remote access to the covered entity’s (CE) computer network server between August 1, 2017, and December 7, 2017, affecting 871 individuals. The types of protected health information (PHI) involved in the breach included demographic, clinical, and financial information. The CE provided breach notification to HHS, affected individuals, and the media. OCR obtained documentation showing that the CE updated and strengthened its password requirements and implemented technical safeguards to reduce the risk of malware infection or hacking. OCR provided technical assistance on HIPAA Security Rule compliance.",2017,12,True,False,False,False,False,False,False,Hacking/IT Incident,True,True,False,False,True,False,False,False,Desktop Computer,0,Small,6.77078942390898,4,1806,0,False,False,False,True,West,Technical Safeguard Failure,Physical/Technical Safeguard Failure
Dignity Health Medical Foundation,CA,Healthcare Provider,2189,2017-12-19,Unauthorized Access/Disclosure,Paper/Films,Yes,"Dignity Health Medical Foundation (DHMF), the covered entity (CE), discovered that it business associate (BA), Admail, mailed protected health information (PHI) to the wrong recipients due to a programmer’s error.  This breach affected 2,189 individuals and the PHI involved included names and addresses.  DHMF’s investigation revealed that Admail failed to use appropriate quality control measures and did not follow its policies and procedures.  DHMF required Admail to revise its standard operating procedure to include additional measures aimed at protecting sensitive data.  The employee responsible for this breach was sanctioned and retrained.",2017,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,False,False,True,Paper/Films,0,Small,7.691656822810547,4,1805,1,False,False,False,True,West,Administrative Safeguard Failure,Physical Safeguard Failure
"Sheldon M. Golden O.D., Optometric Corporation",CA,Healthcare Provider,7583,2017-12-19,Hacking/IT Incident,Network Server,No,"Sheldon M. Golden O.D., Optometric Corporation, the covered entity (CE), reported a breach that occurred at its West Covina, CA location when a computer server was infected with a variant of the CrySiS ransomware virus, which encrypted some files on its local computer drives. The breach affected approximately 7,583 individuals' protected health information (PHI) and included full names, addresses, dates of birth, claims information, billing codes, and clinical information. The CE provided breach notification to HHS, affected individuals, and the media. Following the breach, the CE ensured all documents containing PHI are maintained on secure, encrypted servers along with its medical records. The CE also changed its firewall rules to prohibit any remote access to local drives in order to safeguard electronic PHI. OCR obtained assurances that the CE implemented the corrective actions listed.",2017,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.933796043934858,4,1805,0,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
